"industry","topcode"
"Abortion Policy/Anti-Abortion","Women's Issues"
"Abortion Policy/Pro-Abortion Rights","Women's Issues"
"Accountants","Financial"
"Agricultural Services/Products","Farming"
"Air Transport","Transportation"
"Automotive",
"Beer, Wine & Liquor",
"Building Materials & Equipment","Construction"
"Building Trade Unions","Unions"
"Business Associations",
"Business Services",
"Casinos/Gambling","Entertainment"
"Chemical & Related Manufacturing","Manufacturing"
"Civil Servants/Public Officials",
"Clergy & Religious Organizations","Religious"
"Commercial Banks","Financial"
"Construction Services","Construction"
"Credit Unions","Unions"
"Crop Production & Basic Processing","Farming"
"Dairy","Farming"
"Defense Aerospace","Defense"
"Defense Electronics","Defense"
"Democratic/Liberal","Political"
"Education","Education"
"Electric Utilities","Energy"
"Electronics Mfg & Equip","Manufacturing"
"Employer Listed/Category Unknown","Other"
"Environment","Environmental"
"Environmental Svcs/Equipment","Environmental"
"Finance/Credit Companies","Financial"
"Fisheries & Wildlife","Environmental"
"Food & Beverage","Food & Beverage"
"Food Processing & Sales","Food & Beverage"
"Foreign & Defense Policy","Defense"
"Forestry & Forest Products","Extraction"
"General Contractors","Construction"
"Gun Control","Firearms"
"Gun Rights","Firearms"
"Health Professionals","Health"
"Health Services/HMOs","Health"
"Home Builders","Construction"
"Homemakers/Non-income earners","Other"
"Hospitals/Nursing Homes","Health"
"Human Rights",
"Industrial Unions","Unions"
"Insurance",
"Internet","Telecom"
"Lawyers/Law Firms","Legal"
"Leadership PACs","Political"
"Livestock","Farming"
"Lobbyists","Other"
"Lodging/Tourism","Tourism"
"Marijuana","Other"
"Mining","Extraction"
"Misc Agriculture","Farming"
"Misc Business",
"Misc Communications/Electronics","Telecom"
"Misc Defense","Defense"
"Misc Energy","Energy"
"Misc Finance","Financial"
"Misc Health","Health"
"Misc Issues",
"Misc Manufacturing & Distributing","Manufacturing"
"Misc Services",
"Misc Transport","Transportation"
"Misc Unions","Unions"
"NA","Other"
"Non-contribution","Other"
"Non-Profit Institutions",
"Oil & Gas","Energy"
"Other",
"Party Committees","Political"
"Pharmaceuticals/Health Products","Health"
"Poultry & Eggs","Farming"
"Printing & Publishing","Misc Business"
"Pro-Israel","Misc Issues"
"Public Sector Unions","Unions"
"Railroads","Transportation"
"Real Estate",
"Recreation/Live Entertainment","Entertainment"
"Republican/Conservative","Political"
"Retail Sales","Retail"
"Retired","Other"
"Savings & Loans","Financial"
"Sea Transport","Transportation"
"Securities & Investment","Financial"
"Special Trade Contractors","Misc Services"
"Steel Production","Manufacturing"
"Telecom Services","Telecom"
"Telephone Utilities","Telecom"
"Textiles","Manufacturing"
"Tobacco","Farming"
"Transportation Unions","Unions"
"Trucking","Transportation"
"TV/Movies/Music","Entertainment"
"Unknown","Other"
"Waste Management","Misc Business"
"Women's Issues",
